Unnamed: 0,name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,Gls_y,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_y,PKatt_y,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast_y,xAG_y,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_y,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,Att_y,Live,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocks,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_y,Fld,Def,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att_y,Tkl%,Lost,Blocks_y,Sh_y,Pass,Int,Tkl+Int,Clr,Err,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,90s_y,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live_y,Att_y,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_y,PrgDist_y,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Matches_y,Age_y,Squad_y,Country_y,Comp_y,LgRank_y,MP_y,Min_y,Mn/MP,Min%,90s_y,Starts_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches_y,height,weight
0,harry-kane_2023-2024,145.0,32.68,221.0,30.0,23.0,9.0,316.3,484.0,1580.0,2023-2024,30,Bayern Munich,de GER,1. Bundesliga,3rd,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33.0,36,102,164,1.14,0.25,1.39,0.98,1.24,0.97,0.20,1.17,0.85,1.05,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,36,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5,30.6,26.7,0.19,+5.4,+4.3,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,474,664,71.4,8936,2715,216,266,81.2,166,222,74.8,74,114,64.9,8,6.4,5.9,+1.6,31,66,41,6,102,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,664,620,41,10,13,14,31,8,2,1,0,0,474,3,31,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,83,2.63,54,2,7,13,7,0,11,0.35,8,1,0,2,0,0,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,13,9,4,4,5,6,18,33.3,12,12,4,8,6,19,14,0,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,31.5,995,19,69,395,541,180,990,59,24,40.7,30,50.8,634,3098,1287,36,25,14,45,45,782,164,Matches,30,Bayern Munich,de GER,1. Bundesliga,3rd,32,2839,89,92.8,31.5,32,89,27,0,,0,2.16,85,39,+46,+1.46,+0.24,81.1,28.6,+52.5,+1.66,+1.46,Matches,188,73
1,lois-openda_2023-2024,118.0,36.09,257.0,31.0,31.0,33.0,301.1,887.0,2029.0,2023-2024,23,RB Leipzig,de GER,1. Bundesliga,4th,34,33,2697,30.0,24,7,31,22,2,3,4,0,22.1,19.7,5.8,25.5,77,45,226,0.80,0.23,1.03,0.73,0.97,0.74,0.19,0.93,0.66,0.85,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,24,118,59,50.0,3.94,1.97,0.19,0.37,14.2,1,2,3,22.1,19.7,0.17,+1.9,+2.3,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,348,524,66.4,4561,1025,211,281,75.1,92,128,71.9,13,31,41.9,7,5.8,4.6,+1.2,35,21,21,5,45,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,524,495,28,1,5,1,32,11,0,0,0,0,348,1,30,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,84,2.80,58,0,7,11,7,1,13,0.43,10,0,1,1,1,0,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,3,3,0,1,2,0,6,0.0,6,19,3,16,5,8,14,0,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,30.0,860,20,52,285,528,214,857,65,20,30.8,35,53.8,545,2923,1473,77,30,38,72,38,643,226,Matches,23,RB Leipzig,de GER,1. Bundesliga,4th,34,2697,79,88.1,30.0,33,81,13,1,26,0,1.91,69,33,+36,+1.20,+0.71,58.9,33.8,+25.0,+0.84,+0.72,Matches,175,73
2,deniz-undav_2023-2024,103.0,32.73,226.0,17.0,9.0,29.0,255.7,591.0,1776.0,2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,30,23,2089,23.2,18,10,28,18,0,1,5,0,15.0,14.3,6.5,20.8,45,120,182,0.78,0.43,1.21,0.78,1.21,0.65,0.28,0.93,0.61,0.90,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,18,106,51,48.1,4.57,2.20,0.17,0.35,17.4,0,0,1,15.0,14.3,0.13,+3.0,+3.7,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,595,799,74.5,8387,2679,342,420,81.4,186,230,80.9,27,47,57.4,10,6.5,6.1,+3.5,39,67,44,2,120,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,799,758,32,2,18,3,7,12,0,0,0,0,595,9,43,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,103,4.44,79,0,10,6,6,2,17,0.73,15,0,1,1,0,0,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,28,13,6,8,14,4,15,26.7,11,17,0,17,6,34,5,0,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,23.2,1089,9,69,492,537,147,1088,50,27,54.0,20,40.0,674,3116,1459,45,36,20,58,51,889,182,Matches,27,Stuttgart,de GER,1. Bundesliga,2nd,30,2089,70,68.3,23.2,23,83,8,7,27,0,2.20,53,27,+26,+1.12,-0.08,50.2,28.5,+21.8,+0.94,-0.08,Matches,,
