name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
marco-richter_2023/2024,38.0,32.49,84.0,6.0,14.0,7.0,97.7,238.0,699.0
goncalo-paciencia_2023/2024,38.0,31.76,121.0,26.0,4.0,7.0,84.0,103.0,485.0
ritsu-doan_2023/2024,37.0,33.58,250.0,22.0,28.0,25.0,273.5,671.0,1898.0
wout-weghorst_2023/2024,37.0,32.63,204.0,71.0,4.0,19.0,251.1,616.0,1799.0
fares-chaibi_2023/2024,37.0,33.56,158.0,8.0,46.0,12.0,251.0,664.0,1844.0
thomas-muller_2023/2024,36.0,32.1,168.0,33.0,45.0,12.0,213.3,435.0,1405.0
jae-sung-lee_2023/2024,36.0,32.48,204.0,36.0,11.0,17.0,275.6,710.0,2202.0
ansgar-knauff_2023/2024,36.0,36.38,259.0,25.0,36.0,33.0,260.2,822.0,2118.0
philipp-hofmann_2023/2024,36.0,32.33,238.0,142.0,1.0,16.0,168.1,219.0,717.0
dejan-ljubicic_2023/2024,35.0,33.99,165.0,9.0,22.0,30.0,278.1,702.0,2138.0
benjamin-henrichs_2023/2024,35.0,33.32,289.0,29.0,46.0,27.0,283.6,668.0,1754.0
tomas-cvancara_2023/2024,35.0,34.43,72.0,25.0,2.0,10.0,118.6,284.0,747.0
jan-thielmann_2023/2024,35.0,34.3,192.0,23.0,34.0,27.0,192.9,529.0,1405.0
kingsley-coman_2023/2024,34.0,35.3,139.0,6.0,53.0,6.0,130.4,361.0,881.0
julian-brandt_2023/2024,34.0,32.88,169.0,8.0,31.0,8.0,291.6,675.0,2001.0
jordan_2023/2024,34.0,31.3,189.0,52.0,,35.0,168.9,343.0,1049.0
benedict-hollerbach_2023/2024,34.0,34.6,210.0,15.0,30.0,27.0,188.4,606.0,1480.0
justin-njinmah_2023/2024,33.0,35.53,86.0,8.0,8.0,6.0,127.9,391.0,857.0
kevin-volland_2023/2024,33.0,33.08,126.0,23.0,22.0,29.0,172.7,321.0,1103.0
robert-skov_2023/2024,33.0,33.48,126.0,19.0,25.0,15.0,154.8,321.0,954.0
linton-maina_2023/2024,33.0,36.1,136.0,2.0,54.0,9.0,237.1,638.0,1656.0
maximilian-arnold_2023/2024,33.0,32.33,217.0,24.0,18.0,35.0,323.9,375.0,1821.0
davie-selke_2023/2024,32.0,34.95,126.0,72.0,3.0,22.0,148.0,299.0,873.0
brajan-gruda_2023/2024,32.0,33.97,251.0,10.0,32.0,27.0,210.9,553.0,1590.0
christoph-baumgartner_2023/2024,32.0,33.18,161.0,17.0,6.0,27.0,162.7,385.0,1246.0
lucas-holer_2023/2024,32.0,33.56,270.0,90.0,9.0,24.0,293.4,549.0,1964.0
rocco-reitz_2023/2024,32.0,33.77,282.0,22.0,8.0,23.0,284.1,509.0,1865.0
faride-alidou_2023/2024,32.0,33.92,143.0,20.0,36.0,20.0,159.8,480.0,1239.0
leonardo-bittencourt_2023/2024,31.0,31.34,171.0,9.0,26.0,33.0,201.3,340.0,1331.0
anthony-caci_2023/2024,31.0,33.08,212.0,43.0,42.0,35.0,310.0,651.0,2074.0
kevin-sessa_2023/2024,31.0,35.46,100.0,17.0,9.0,15.0,135.8,344.0,1048.0
karim-onisiwo_2023/2024,30.0,34.02,220.0,45.0,19.0,30.0,178.9,430.0,1187.0
nathan-ngoumou_2023/2024,30.0,35.47,167.0,12.0,23.0,13.0,165.2,525.0,1329.0
sargis-adamyan_2023/2024,29.0,32.95,98.0,19.0,4.0,17.0,101.6,249.0,722.0
robin-gosens_2023/2024,29.0,32.15,281.0,69.0,59.0,29.0,308.0,699.0,2285.0
mohamed-simakan_2023/2024,29.0,34.15,253.0,77.0,10.0,33.0,245.7,525.0,1445.0
franck-honorat_2023/2024,29.0,34.51,158.0,19.0,99.0,9.0,292.3,844.0,2041.0
elvis-rexhbecaj_2023/2024,29.0,31.7,189.0,34.0,11.0,18.0,258.6,347.0,1462.0
christopher-antwi-adjei_2023/2024,29.0,34.5,108.0,10.0,34.0,11.0,146.2,444.0,1099.0
hugo-ekitike_2023/2024,29.0,35.13,115.0,19.0,8.0,11.0,88.4,235.0,624.0
joshua-kimmich_2023/2024,28.0,32.29,167.0,9.0,55.0,12.0,292.3,497.0,1768.0
florian-kainz_2023/2024,28.0,32.98,172.0,21.0,63.0,18.0,274.3,548.0,1727.0
oscar-vilhelmsson_2023/2024,28.0,32.82,134.0,44.0,6.0,28.0,166.0,291.0,1010.0
matus-bero_2023/2024,28.0,33.18,141.0,22.0,11.0,37.0,218.5,658.0,1724.0
lucas-tousart_2023/2024,28.0,33.54,199.0,41.0,6.0,31.0,218.6,263.0,1264.0
ludovic-ajorque_2023/2024,27.0,31.94,193.0,82.0,5.0,25.0,167.9,313.0,1025.0
yussuf-poulsen_2023/2024,27.0,32.89,135.0,22.0,4.0,20.0,155.4,422.0,1153.0
tiago-tomas_2023/2024,27.0,34.82,114.0,12.0,19.0,9.0,135.8,377.0,1078.0
patrick-mainka_2023/2024,27.0,32.53,368.0,134.0,1.0,23.0,369.1,475.0,1851.0
marvin-pieringer_2023/2024,27.0,33.93,199.0,69.0,5.0,31.0,203.4,489.0,1442.0
maximilian-wittek_2023/2024,27.0,33.35,127.0,19.0,24.0,19.0,130.4,332.0,901.0
amine-adli_2023/2024,27.0,34.5,118.0,23.0,18.0,15.0,120.0,361.0,871.0
keven-schlotterbeck_2023/2024,26.0,32.53,283.0,137.0,7.0,39.0,247.5,263.0,1097.0
eric-maxim-choupo-moting_2023/2024,25.0,33.78,113.0,18.0,7.0,10.0,88.6,168.0,491.0
eric-martel_2023/2024,25.0,32.51,340.0,93.0,13.0,56.0,330.8,454.0,1846.0
david-datro-fofana_2023/2024,25.0,34.8,94.0,10.0,7.0,7.0,82.3,211.0,578.0
merlin-rohl_2023/2024,25.0,34.9,171.0,21.0,8.0,34.0,195.0,585.0,1527.0
grischa-promel_2023/2024,25.0,32.36,167.0,19.0,8.0,32.0,306.3,470.0,2063.0
marius-bulter_2023/2024,25.0,35.42,141.0,26.0,51.0,12.0,177.1,325.0,1031.0
waldemar-anton_2023/2024,25.0,33.84,277.0,106.0,9.0,24.0,355.7,695.0,2203.0
anthony-losilla_2023/2024,25.0,30.62,305.0,93.0,6.0,33.0,332.0,515.0,2104.0
manu-kone_2023/2024,25.0,32.81,251.0,20.0,3.0,27.0,203.0,297.0,1273.0
mathias-honsak_2023/2024,24.0,33.79,91.0,21.0,7.0,14.0,128.4,275.0,804.0
ridle-baku_2023/2024,24.0,34.55,209.0,17.0,32.0,22.0,241.9,794.0,1990.0
phillipp-mwene_2023/2024,24.0,34.38,162.0,23.0,52.0,31.0,252.0,717.0,1860.0
yorbe-vertessen_2023/2024,24.0,34.36,60.0,4.0,2.0,7.0,74.3,206.0,497.0
felix-nmecha_2023/2024,23.0,34.73,133.0,24.0,1.0,9.0,133.9,297.0,888.0
dominik-kohr_2023/2024,23.0,34.76,256.0,62.0,11.0,46.0,258.3,396.0,1244.0
jonathan-tah_2023/2024,23.0,35.81,206.0,83.0,3.0,32.0,305.5,392.0,1433.0
silas-katompa-mvumpa_2023/2024,23.0,36.15,112.0,7.0,18.0,12.0,108.7,282.0,721.0
moritz-broschinski_2023/2024,23.0,34.22,136.0,41.0,5.0,28.0,148.7,512.0,1221.0
arne-maier_2023/2024,23.0,31.82,76.0,6.0,25.0,4.0,137.0,337.0,1034.0
jeffrey-gouweleeuw_2023/2024,23.0,32.81,224.0,70.0,17.0,24.0,290.7,381.0,1211.0
rafael-borre_2023/2024,23.0,33.63,95.0,25.0,9.0,15.0,126.9,318.0,893.0
nico-schlotterbeck_2023/2024,22.0,33.4,329.0,69.0,5.0,16.0,317.5,462.0,1676.0
sepp-van-den-berg_2023/2024,22.0,34.78,373.0,185.0,,32.0,324.3,537.0,1640.0
arne-engels_2023/2024,22.0,33.28,127.0,24.0,30.0,23.0,191.2,432.0,1285.0
maximilian-mittelstadt_2023/2024,22.0,32.97,319.0,35.0,75.0,25.0,259.7,629.0,1658.0
bernardo_2023/2024,22.0,33.77,504.0,166.0,17.0,50.0,340.1,730.0,2048.0
patrick-osterhage_2023/2024,22.0,34.58,219.0,30.0,10.0,20.0,249.9,649.0,1852.0
niels-nkounkou_2023/2024,22.0,33.73,204.0,20.0,24.0,27.0,165.0,403.0,1030.0
amadou-haidara_2023/2024,22.0,32.13,182.0,39.0,1.0,15.0,191.3,234.0,978.0
robert-andrich_2023/2024,21.0,31.08,154.0,31.0,9.0,23.0,222.1,221.0,1097.0
